type,week,capacity,original_load,adjusted_load,utilization,spill_in,spill_out,demand,supply_plan,fill_rate
capacity,2025-01-W1,37.5,20.0,20.0,0.533333,0.0,0.0,,,
capacity,2025-01-W2,37.5,0.0,0.0,0.0,0.0,0.0,,,
capacity,2025-01-W3,37.5,0.0,0.0,0.0,0.0,0.0,,,
capacity,2025-01-W4,37.5,0.0,0.0,0.0,0.0,0.0,,,
capacity,2025-02-W1,37.5,0.0,0.0,0.0,0.0,0.0,,,
capacity,2025-02-W2,37.5,0.0,0.0,0.0,0.0,0.0,,,
capacity,2025-02-W3,37.5,0.0,0.0,0.0,0.0,0.0,,,
capacity,2025-02-W4,37.5,0.0,0.0,0.0,0.0,0.0,,,
service,2025-01-W1,,,,,,,45.0,0.0,0.0
service,2025-01-W2,,,,,,,45.0,20.0,0.444444
service,2025-01-W3,,,,,,,45.0,0.0,0.0
service,2025-01-W4,,,,,,,45.0,0.0,0.0
service,2025-02-W1,,,,,,,30.0,0.0,0.0
service,2025-02-W2,,,,,,,30.0,0.0,0.0
service,2025-02-W3,,,,,,,30.0,0.0,0.0
service,2025-02-W4,,,,,,,30.0,0.0,0.0
