workcenter,period,capacity
FACTORY-1,2025-01,600
FACTORY-1,2025-02,610
FACTORY-1,2025-03,620
FACTORY-1,2025-04,600
FACTORY-1,2025-05,610
FACTORY-1,2025-06,620
FACTORY-1,2025-07,600
FACTORY-1,2025-08,610
FACTORY-1,2025-09,620
FACTORY-1,2025-10,600
FACTORY-1,2025-11,610
FACTORY-1,2025-12,620
FACTORY-2,2025-01,620
FACTORY-2,2025-02,630
FACTORY-2,2025-03,640
FACTORY-2,2025-04,620
FACTORY-2,2025-05,630
FACTORY-2,2025-06,640
FACTORY-2,2025-07,620
FACTORY-2,2025-08,630
FACTORY-2,2025-09,640
FACTORY-2,2025-10,620
FACTORY-2,2025-11,630
FACTORY-2,2025-12,640
FACTORY-3,2025-01,580
FACTORY-3,2025-02,590
FACTORY-3,2025-03,600
FACTORY-3,2025-04,580
FACTORY-3,2025-05,590
FACTORY-3,2025-06,600
FACTORY-3,2025-07,580
FACTORY-3,2025-08,590
FACTORY-3,2025-09,600
FACTORY-3,2025-10,580
FACTORY-3,2025-11,590
FACTORY-3,2025-12,600
FACTORY-4,2025-01,610
FACTORY-4,2025-02,620
FACTORY-4,2025-03,630
FACTORY-4,2025-04,610
FACTORY-4,2025-05,620
FACTORY-4,2025-06,630
FACTORY-4,2025-07,610
FACTORY-4,2025-08,620
FACTORY-4,2025-09,630
FACTORY-4,2025-10,610
FACTORY-4,2025-11,620
FACTORY-4,2025-12,630
FACTORY-5,2025-01,630
FACTORY-5,2025-02,640
FACTORY-5,2025-03,650
FACTORY-5,2025-04,630
FACTORY-5,2025-05,640
FACTORY-5,2025-06,650
FACTORY-5,2025-07,630
FACTORY-5,2025-08,640
FACTORY-5,2025-09,650
FACTORY-5,2025-10,630
FACTORY-5,2025-11,640
FACTORY-5,2025-12,650
FACTORY-6,2025-01,650
FACTORY-6,2025-02,660
FACTORY-6,2025-03,670
FACTORY-6,2025-04,650
FACTORY-6,2025-05,660
FACTORY-6,2025-06,670
FACTORY-6,2025-07,650
FACTORY-6,2025-08,660
FACTORY-6,2025-09,670
FACTORY-6,2025-10,650
FACTORY-6,2025-11,660
FACTORY-6,2025-12,670
FACTORY-7,2025-01,670
FACTORY-7,2025-02,680
FACTORY-7,2025-03,690
FACTORY-7,2025-04,670
FACTORY-7,2025-05,680
FACTORY-7,2025-06,690
FACTORY-7,2025-07,670
FACTORY-7,2025-08,680
FACTORY-7,2025-09,690
FACTORY-7,2025-10,670
FACTORY-7,2025-11,680
FACTORY-7,2025-12,690
FACTORY-8,2025-01,690
FACTORY-8,2025-02,700
FACTORY-8,2025-03,710
FACTORY-8,2025-04,690
FACTORY-8,2025-05,700
FACTORY-8,2025-06,710
FACTORY-8,2025-07,690
FACTORY-8,2025-08,700
FACTORY-8,2025-09,710
FACTORY-8,2025-10,690
FACTORY-8,2025-11,700
FACTORY-8,2025-12,710
