family,period,demand
PRODUCT-FAMILY-1,2025-01,580
PRODUCT-FAMILY-1,2025-02,625
PRODUCT-FAMILY-1,2025-03,670
PRODUCT-FAMILY-1,2025-04,715
PRODUCT-FAMILY-1,2025-05,760
PRODUCT-FAMILY-1,2025-06,805
PRODUCT-FAMILY-1,2025-07,850
PRODUCT-FAMILY-1,2025-08,895
PRODUCT-FAMILY-1,2025-09,940
PRODUCT-FAMILY-1,2025-10,985
PRODUCT-FAMILY-1,2025-11,1030
PRODUCT-FAMILY-1,2025-12,1075
PRODUCT-FAMILY-2,2025-01,720
PRODUCT-FAMILY-2,2025-02,765
PRODUCT-FAMILY-2,2025-03,810
PRODUCT-FAMILY-2,2025-04,855
PRODUCT-FAMILY-2,2025-05,900
PRODUCT-FAMILY-2,2025-06,945
PRODUCT-FAMILY-2,2025-07,990
PRODUCT-FAMILY-2,2025-08,1035
PRODUCT-FAMILY-2,2025-09,1080
PRODUCT-FAMILY-2,2025-10,1125
PRODUCT-FAMILY-2,2025-11,1170
PRODUCT-FAMILY-2,2025-12,1215
PRODUCT-FAMILY-3,2025-01,360
PRODUCT-FAMILY-3,2025-02,390
PRODUCT-FAMILY-3,2025-03,420
PRODUCT-FAMILY-3,2025-04,450
PRODUCT-FAMILY-3,2025-05,480
PRODUCT-FAMILY-3,2025-06,510
PRODUCT-FAMILY-3,2025-07,540
PRODUCT-FAMILY-3,2025-08,570
PRODUCT-FAMILY-3,2025-09,600
PRODUCT-FAMILY-3,2025-10,630
PRODUCT-FAMILY-3,2025-11,660
PRODUCT-FAMILY-3,2025-12,690
PRODUCT-FAMILY-4,2025-01,420
PRODUCT-FAMILY-4,2025-02,450
PRODUCT-FAMILY-4,2025-03,480
PRODUCT-FAMILY-4,2025-04,510
PRODUCT-FAMILY-4,2025-05,540
PRODUCT-FAMILY-4,2025-06,570
PRODUCT-FAMILY-4,2025-07,600
PRODUCT-FAMILY-4,2025-08,630
PRODUCT-FAMILY-4,2025-09,660
PRODUCT-FAMILY-4,2025-10,690
PRODUCT-FAMILY-4,2025-11,720
PRODUCT-FAMILY-4,2025-12,750
PRODUCT-FAMILY-5,2025-01,610
PRODUCT-FAMILY-5,2025-02,655
PRODUCT-FAMILY-5,2025-03,700
PRODUCT-FAMILY-5,2025-04,745
PRODUCT-FAMILY-5,2025-05,790
PRODUCT-FAMILY-5,2025-06,835
PRODUCT-FAMILY-5,2025-07,880
PRODUCT-FAMILY-5,2025-08,925
PRODUCT-FAMILY-5,2025-09,970
PRODUCT-FAMILY-5,2025-10,1015
PRODUCT-FAMILY-5,2025-11,1060
PRODUCT-FAMILY-5,2025-12,1105
PRODUCT-FAMILY-6,2025-01,540
PRODUCT-FAMILY-6,2025-02,585
PRODUCT-FAMILY-6,2025-03,630
PRODUCT-FAMILY-6,2025-04,675
PRODUCT-FAMILY-6,2025-05,720
PRODUCT-FAMILY-6,2025-06,765
PRODUCT-FAMILY-6,2025-07,810
PRODUCT-FAMILY-6,2025-08,855
PRODUCT-FAMILY-6,2025-09,900
PRODUCT-FAMILY-6,2025-10,945
PRODUCT-FAMILY-6,2025-11,990
PRODUCT-FAMILY-6,2025-12,1035
